"pues si que es una novela policiaca sobre todo porque va de policías hay drogas prostitución robo asesinato corrupciónmenudo abanicoson 105 capítulos bastante cortitos que se leen muy rápido cada uno te deja con ganas de empezar el siguiente refleja perfectamente la personalidad de los protagonistas rebeca marín una chica muy poco espabilada para su edad porque siempre ha estado volcada en los libros piensa que es hora de independizarse en muchos sentidos su padre militar de rango algo machista y chapado a la antigua su madre mujer de militar que se le viene el mundo encima con la decisión de su hijarebeca se prepara para la policía es muy estudiosa e inteligente y aprueba a la primera pasa a la academia y ahí es donde ya empieza lo difícil relacionarte en una academia con compañeros y compañeras que son capaces de meterte en un lio es otra cosa estudiar y aprobar exámenes es fácil pero cuando ya te tienen que evaluar por tu comportamientodescubriremos con ella su iniciación en la sexualidad algo que no le había preocupado hasta ahora que quiere aparentar ante sus compañeras que no está atontada se ve envuelta en el asesinato de un inspector que era odiado por todos sin comerlo ni beberlo por culpa de su inexperiencia a partir de ahí todo es liar más la madeja cualquier cosa que haga es cubrirse más de fango o que la expulsen una trampa muy bien orquestada en la que es complicado tomar una decisión sobre cual es el siguiente paso a darrebecca tiene un arduo trabajo si quiere salir del atolladero impune o con el mínimo daño posible un año lleno de tropiezos y aprendizaje sobre todo a sobrevivir y convivir con esa profesión cómo acabará su año de prácticasuna trama en la sinceramente para mi lo menos importante ha sido quien es el culpable de asesinato me he sumergido en el día a día de la protagonista y es lo que más me interesaba en varias ocasiones me había planteado si prepararme para la policía y ha sido un gustazo leer este libro he acompañado a su protagonista rebeca desde que estaba en la academia hasta acabar su año de prácticas he vivido con ella la inexperiencia y el miedo a no hacer las cosas bien a que la tomaran por tonta y no hacerse valer se le ha visto un progreso y seguridad que no tenía al principio"," 4 "
"según comencé la lectura temí haberme equivocado con la elección pero en cuanto me recordé a mi misma que era una novela de ficción la cosa cambió el cambio de chip me permitió disfrutar de la obra sin más problemasrebeca la protagonista nos narra sus vivencias de unos años antes desde la perspectiva de los veinticuatro nos relata todo lo que ocurrió desde que con veintiún años decide hacerse policía e ingresa tras aprobar las oposiciones en la academia de ávila la historia arranca en 1997 y abarca hasta principios del 2000 y nos devuelve a una época marcada por la corrupciónla muchacha nos cuenta sus experiencias las tramas de corrupción que se encuentra tanto en la academia como en su año de prácticas también asistimos a su madurez como persona y a muchos cambios en su vida personallos capítulos cortos consiguen atraparte enseguida a pesar de la narración en primera persona y de que sólo vemos las cosas desde el punto de vista de rebecca el autor se las apaña bastante bien para darnos a conocer al resto de personajes vamos descubriendo las cosas poco a poco y a la vez que ella por eso terminando viendo que las cosas no eran siempre lo que parecíanme costó hacerme un poco con la forma de ser de rebeca es una ingenua idealista que no tiene claras algunas cosas entre ellas su propia sexualidad vemos su evolución según le ocurren cosas toma decisiones provocadas por la falta de confianza y madurez y también por no saber  en quien confiar pero no pierde la integridad la dudas propias de la juventud le dan un lado humano que se agradece y la hace más creíble es un buen contrapunto a su faceta de adalid de la justiciala novela es muy entretenida y fácil de leer se hace referencia a situaciones y personas que bien pudieron ser reales pero con nombres y situaciones modificados o al menos eso me ha parecido entenderel autor enlaza bien las diferentes tramas la historia que nos narra es coherente y resulta creíbleme lo he pasado muy bien con la lectura me ha venido genial para desconectar y pronto leeré algo más del autor"," 4 "
"libro muy recomendable es el primero que leo de esteban navarro y no será el últimototalmente una sorpresa se aborda el tema desde una visión totalmente novedosa no me la espera asíuna vez que lo empiezas a leer no puedes dejarlo hasta acabarlo"," 5 "
"he leído varios títulos de este autor en lo que va del verano y ahora estoy con crímenes del abecedario  vale no se tiene porqué esperar un gellida un silva una giménez bartlett o una men marías pero les falta profundidad y complejidad de trama a los personajes adentrarse un poco en sus procesos mentales conocerlos un pocose pierde la buena trama de investigación de una novela más bien corta en descripciones repetitivas de los atributos físicos sensuales y sexuales de los personajes femeninos y sus reacciones en los masculinos con una narrativa tan casposa y machacona que de a ratos fastidia bastanteincluso cuando la narrativa está hecha en primera persona y el personaje es mujer pienso que degrada e infravalora la tarea y cómo son vistas las mujeres policía y las describe como personajes que quedan más bien raros y fuera de la realidad que conozco de los ffccse  ésas descripciones físicas no se hacen en los personajes masculinos a éstos les pone nombres como celestino y edelmiro si sus edades superan los 50 años la separación generacional se remarca exageradamente en fin faltaría mucho pulido en mi opinión  algunas novelas repiten demasiado también el conflicto de equiparación y distribución de funciones de los diferentes cuerpos en cataluña de tal forma que parecen u una arenga sindical a veceslas historias no están mal y el conocimiento del funcionamiento y desviaciones del mismo desde dentro es algo que se nota en la trama y los ojos agradecenno obstante supongo que los libros están enfocados a un nicho de mercado masculino y no muy acostumbrado a la novela negra no se trata de hacer propaganda feminista simplemente les hacen falta personajes femeninos más realistas y fuertes"," 3 "
"entretenido pero con la continua sensación de que va arrancar la aventura pero al final nada de nada mis recuerdos de esa época totalmente distintos y eso que vivía en bcncuriosa protagonista cuanto menosen fin libros escritos por mi 0 por esteban un montón así que me he puesto a buscar otros y estoy con el ajedrecista y nada que ver muy bueno el comienzo y ya tengo comprado la trilogía que empieza por su libro que fue finalista del planetaeste libro obsequio del autor grande un escritor que arriesga regalando alguno de sus libros conmigo ha acertado"," 3 "
"esta novela de esteban navarro es totalmente diferente a las demás que él ha escrito y yo leído pero engancha desde el principio al lector de una forma prodigiosarebeca es hija única de un militar de alto rangoella es la protagonista de la trama con situaciones inesperadas pagando muchas veces los errores cometidos a causa de su inexperiencia y su inocenciame gustaría recalcar el autor describe situaciones perfectamente reales fácilmente creíbles en las que ensalza a las fuerzas del orden pese a haber algunos elementos corruptos pues en todas las épocas de la vida ha habido personas con afán de lucro rápido y además este caso todo gira en torno a los años 90no me gustaría destapar su desenlace pero en mi humilde opinión no creo los familiares de militares o policías puedan verse ofendidos por su lectura la cual es amena razonada y está tratada con respeto"," 5 "
"esteban navarro hace un gran trabajo construyendo personajes y criticando la corrupción dentro de la policía a pesar del ritmo pausado logra atraparte y pasas un buen rato con la lectura el crecimiento de la protagonista es notable hubiera preferido más acción pero un año de prácticas no es un título desechable en absoluto"," 4 "
"novela entretenida cómo todas las del autor en la que te sumerge en la historia personal de la protagonista en su año de practicas tras el acceso a la policía nacionalrecomendable pero de las 12 novelas que llevo leídas del autor estaría en mitad de la tabla supongo porque tiene novelas que para mí son un 10"," 4 "
"le pongo 3 estrellas y no 2 porque el inicio de la novela engancha y la narrativa no es pesada pero a medida que vas avanzando en la lectura la trama se va diluyendo yla denuncia de la corrupción en la policía nacional y supongo que en otras administraciones esta bien al igual que los personajes estan bastantante bien definidos he comprado otro del mismo autor a ver si el epílogo es bueno y si no lo es no volveré a leerlo otra pega que veo no solo en ésta novela es que es demasiado politicamente correcto"," 3 "
"buena novela ágil y fácil de leer en la cual se habla de todo lo que creemos saber e intuimos pero casi nadie hace nada por impedirlo ya que el que lo intenta lo dejan fuera de juego o se lo cargan toda esta corrupción es extrapolable a todos los ámbitos de la vida y así nos va muy recomendable y amena"," 4 "
